account_id,account_name,industry,employee_count,annual_revenue,is_icp_qualified,is_named_account,intent_score,do_not_contact,country
de39ace6e146477e,"Rodriguez, Figueroa and Sanchez",Retail,5913,332622148.91,False,False,17,False,Germany
2208e0054f8c480c,Doyle Ltd,Financial Services,1357,268174584.85,True,True,27,False,Germany
b87b057386114d0f,"Mcclain, Miller and Henderson",Media,1815,415643899.36,False,False,28,False,USA
ffe473f086644f37,Davis and Sons,Technology,10426,2499131402.42,True,False,43,False,USA
04c36acaeb1c40cd,"Guzman, Hoffman and Baldwin",Government,32060,2422215366.31,False,True,44,False,India
f5268bcc049f492c,"Gardner, Robinson and Lawrence",Government,8764,1613075748.38,False,True,37,False,Germany
92c3e16309b249ac,Blake and Sons,Media,33701,6549386161.82,False,True,84,False,USA
e408898d646741d0,"Henderson, Ramirez and Lewis",Government,15,3999313.75,False,False,81,False,USA
891a3f2706644224,Garcia-James,Media,308,67003488.43,False,False,82,False,Germany
926e0b44f34642a4,Abbott-Munoz,Education,3987,443365289.64,False,False,81,False,USA
ca95156fe1d04fad,Blair PLC,Financial Services,229,24563002.12,True,False,51,False,USA
5153053f818d45f8,Dudley Group,Manufacturing,4590,1053306625.65,False,False,50,False,Germany
c04278d96e7649c7,Arnold Ltd,Media,118,10019094.43,False,False,33,False,USA
70e77fbbd13d4146,"Mcclure, Ward and Lee",Technology,2636,370355656.41,True,False,11,False,Australia
7fa7795bb25b4161,Williams and Sons,Government,91,22569805.54,False,False,49,False,France
75d7a068fecc4c5a,Galloway-Wyatt,Financial Services,2030,594322276.64,True,False,14,False,UK
f07802446d2840f8,James Group,Government,375,29208016.27,False,False,0,False,Australia
2f8f3a0f6a074cb3,"Flowers, Martin and Kelly",Telecommunications,457,109904181.24,False,False,80,False,Germany
2630bcbe69d14f30,"Adams, Zuniga and Wong",Technology,1815,160100818.1,True,False,99,False,Australia
554468d9beff4e90,"Reid, Ferguson and Sanchez",Healthcare,2328,400768522.07,True,False,39,False,USA
c6d5f75384fb43ac,Gray-Mayo,Media,4879,340013909.65,False,False,8,False,UK
7c1f05a16908456b,"Watts, Robinson and Nguyen",Telecommunications,83,17839829.57,False,False,67,False,USA
972a55b09b404b19,Perez Inc,Media,189,45136280.54,False,False,39,False,Germany
4c6ff1a2f55049f8,Morales-Jones,Education,425,116833996.49,False,True,28,False,USA
9ac195a5971945e6,"Walter, Edwards and Rios",Financial Services,1943,382984785.57,True,True,80,False,USA
67b44a52a45c459d,Wilkerson-Day,Manufacturing,22,1489715.42,False,False,62,False,USA
89072b1858e346cc,Baker and Sons,Education,3361,565211829.86,False,False,24,False,Germany
400cf5ecd1144bf1,"Hoffman, Baker and Richards",Media,417,63707412.28,False,True,83,False,USA
6023e7aea36f47bf,"Ross, Robinson and Bright",Healthcare,873,117702793.63,True,False,24,False,USA
6dd1af3232774ecb,"Snyder, Campos and Callahan",Healthcare,122,20210156.09,False,False,70,False,Germany
f916ea30e0744727,Burton Ltd,Healthcare,4425,237575878.75,True,False,30,False,USA
dad8446037794954,Carlson-Cruz,Technology,153,42168439.61,False,False,49,False,India
49aa1d3434f74961,"Ferrell, Rice and Maddox",Media,647,100771460.86,False,False,71,False,USA
206a595accfd48c3,Frazier Inc,Financial Services,126,13157578.3,False,False,69,False,USA
b207e26c0f334ad7,"Dyer, Potter and Mack",Telecommunications,38,6429490.91,False,False,65,False,USA
e1d05fbfe059420b,Rodriguez-Graham,Manufacturing,1279,279849214.01,False,False,72,False,UK
1c53b76108f64cba,Smith-Bowen,Insurance,1336,206821121.72,False,False,40,False,USA
206cba67f8ad4d58,"Baker, Mason and White",Government,7574,830651851.28,False,True,82,False,USA
0d852bf1fb464355,Harrell LLC,Insurance,14755,772112391.58,False,False,12,False,USA
94809d33861e41ae,"Romero, Gonzalez and Brooks",Healthcare,268,75928378.33,True,False,47,False,USA
ee0ea07437bc4204,Ryan PLC,Legal,3882,487692887.26,False,False,85,False,USA
14932c1069a64097,George Group,Technology,5849,1665400398.24,True,False,13,False,USA
ff7cd62b2de64ebd,Rodriguez LLC,Manufacturing,308,70656138.41,False,False,33,False,USA
8748fc8ee24e4175,Allen-Allen,Government,13330,974084643.65,False,False,5,True,India
723f72f57f2a46bb,"Arroyo, Miller and Tucker",Education,7146,645966200.61,False,False,54,False,USA
e3208a541dbb4d58,Spence PLC,Energy,6222,1159765694.86,False,False,18,False,USA
1909e3cef0a242b0,Anderson Group,Manufacturing,221,60715586.17,False,False,85,False,India
c171f3eb944e4e14,"Martin, Rose and Obrien",Media,36633,10750292912.57,False,False,30,False,France
7663529cc93a4280,Hickman Ltd,Financial Services,21604,5840728921.39,True,False,42,False,USA
9bc5161f807f4c9b,"Harris, Collins and Carney",Media,7033,820761138.89,False,True,4,False,USA
cebfdafefd3c496b,"Brooks, Lam and Hayes",Manufacturing,40167,5519532483.68,False,False,84,False,USA
bca104e01209402a,Walker LLC,Retail,14550,4244559115.98,False,False,65,False,France
